"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
1869,"2019-09-01 00:02:31.1230","2019-09-01 00:33:40.5120",3511,"Adam Clayton Powell Blvd & W 115 St",40.802535,-73.9532423,3511,"Adam Clayton Powell Blvd & W 115 St",40.802535,-73.9532423,19615,"Customer",1969,0
542,"2019-09-01 00:02:31.1930","2019-09-01 00:11:33.5500",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,447,"8 Ave & W 52 St",40.76370739,-73.9851615,19668,"Customer",1969,0
569,"2019-09-01 00:02:31.7390","2019-09-01 00:12:01.0220",328,"Watts St & Greenwich St",40.72405549,-74.00965965,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,20925,"Subscriber",1989,1
2740,"2019-09-01 00:02:33.2450","2019-09-01 00:48:13.8530",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,3307,"West End Ave & W 94 St",40.7941654,-73.974124,33681,"Subscriber",1986,1
955,"2019-09-01 00:02:34.2190","2019-09-01 00:18:29.2840",3711,"E 13 St & Avenue A",40.72966729392978,-73.98067966103554,470,"W 20 St & 8 Ave",40.74345335,-74.00004031,29159,"Subscriber",1963,1
528,"2019-09-01 00:02:34.2790","2019-09-01 00:11:22.9350",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,447,"8 Ave & W 52 St",40.76370739,-73.9851615,38211,"Customer",1969,0
1653,"2019-09-01 00:02:35.6520","2019-09-01 00:30:08.9140",3151,"E 81 St & York Ave",40.7728384,-73.94989233,3602,"31 Ave & 34 St",40.763154,-73.920827,38861,"Customer",1997,1
2736,"2019-09-01 00:02:43.5960","2019-09-01 00:48:20.2490",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,3307,"West End Ave & W 94 St",40.7941654,-73.974124,35149,"Subscriber",1986,2
450,"2019-09-01 00:02:46.8590","2019-09-01 00:10:17.6980",412,"Forsyth St & Canal St",40.7158155,-73.99422366,410,"Suffolk St & Stanton St",40.72066442,-73.98517977,25910,"Subscriber",1969,0
1062,"2019-09-01 00:02:50.3790","2019-09-01 00:20:32.6820",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,426,"West St & Chambers St",40.71754834,-74.01322069,35077,"Customer",1969,0
685,"2019-09-01 00:02:55.4410","2019-09-01 00:14:21.0410",317,"E 6 St & Avenue B",40.72453734,-73.98185424,285,"Broadway & E 14 St",40.73454567,-73.99074142,32861,"Subscriber",1982,1
1231,"2019-09-01 00:03:01.1380","2019-09-01 00:23:33.0530",3295,"Central Park W & W 96 St",40.79127,-73.964839,468,"Broadway & W 56 St",40.7652654,-73.98192338,33885,"Customer",1979,2
470,"2019-09-01 00:03:11.4810","2019-09-01 00:11:01.6910",238,"Bank St & Washington St",40.7361967,-74.00859207,3260,"Mercer St & Bleecker St",40.72706363348306,-73.99662137031554,21010,"Subscriber",1994,1
836,"2019-09-01 00:03:19.3920","2019-09-01 00:17:16.3730",3437,"Riverside Dr & W 91 St",40.79313480986663,-73.97700369358063,513,"W 56 St & 10 Ave",40.768254,-73.988639,24807,"Subscriber",1988,2
644,"2019-09-01 00:03:20.6590","2019-09-01 00:14:05.3830",3236,"W 42 St & Dyer Ave",40.75898481399634,-73.99379968643188,505,"6 Ave & W 33 St",40.74901271,-73.98848395,28436,"Subscriber",1991,1
949,"2019-09-01 00:03:21.0780","2019-09-01 00:19:10.6280",525,"W 34 St & 11 Ave",40.75594159,-74.0021163,3664,"North Moore St & Greenwich St",40.72019521437465,-74.0103006362915,18949,"Subscriber",1994,1
1126,"2019-09-01 00:03:21.4130","2019-09-01 00:22:08.3560",3687,"E 33 St & 1 Ave",40.74322681432173,-73.97449783980846,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,17062,"Customer",1986,1
123,"2019-09-01 00:03:24.0320","2019-09-01 00:05:27.8670",168,"W 18 St & 6 Ave",40.73971301,-73.99456405,496,"E 16 St & 5 Ave",40.73726186,-73.99238967,39042,"Subscriber",1956,1
1176,"2019-09-01 00:03:24.8560","2019-09-01 00:23:01.1520",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,445,"E 10 St & Avenue A",40.72740794,-73.98142006,16349,"Customer",1990,2
335,"2019-09-01 00:03:27.0680","2019-09-01 00:09:02.4600",3558,"Bergen St & Vanderbilt Ave",40.6794388,-73.9680438,3562,"Classon Ave & St Marks Ave",40.6765198,-73.9596082,32323,"Subscriber",1995,2
373,"2019-09-01 00:03:29.0120","2019-09-01 00:09:42.2920",518,"E 39 St & 2 Ave",40.74780373,-73.9734419,507,"E 25 St & 2 Ave",40.73912601,-73.97973776,28094,"Subscriber",1997,2
414,"2019-09-01 00:03:29.2220","2019-09-01 00:10:24.0440",3155,"Lexington Ave & E 63 St",40.76440023,-73.96648977,3131,"E 68 St & 3 Ave",40.76712840349542,-73.96224617958069,33227,"Subscriber",1995,1
1125,"2019-09-01 00:03:29.8890","2019-09-01 00:22:15.6240",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,445,"E 10 St & Avenue A",40.72740794,-73.98142006,18204,"Subscriber",1992,2
252,"2019-09-01 00:03:30.9500","2019-09-01 00:07:43.0380",3493,"E 118 St & 3 Ave",40.799139,-73.9389152,3498,"Pleasant Ave & E 120 St",40.7974772,-73.9311847,32057,"Subscriber",1970,1
1353,"2019-09-01 00:03:31.8630","2019-09-01 00:26:05.6420",254,"W 11 St & 6 Ave",40.73532427,-73.99800419,254,"W 11 St & 6 Ave",40.73532427,-73.99800419,38434,"Customer",1991,1
512,"2019-09-01 00:03:32.7240","2019-09-01 00:12:05.1070",3052,"Lewis Ave & Madison St",40.686312,-73.935775,3179,"Park Ave & Marcus Garvey Blvd",40.698617,-73.941342,38633,"Subscriber",1985,1
1144,"2019-09-01 00:03:35.0010","2019-09-01 00:22:39.8670",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,445,"E 10 St & Avenue A",40.72740794,-73.98142006,32220,"Customer",1992,2
1080,"2019-09-01 00:03:37.3130","2019-09-01 00:21:37.4580",465,"Broadway & W 41 St",40.75513557,-73.98658032,251,"Mott St & Prince St",40.72317958,-73.99480012,30889,"Subscriber",1988,1
592,"2019-09-01 00:03:37.8590","2019-09-01 00:13:30.1050",3711,"E 13 St & Avenue A",40.72966729392978,-73.98067966103554,3708,"W 13 St & 5 Ave",40.735445,-73.99431,31362,"Subscriber",1981,2
2152,"2019-09-01 00:03:37.9920","2019-09-01 00:39:30.6890",312,"Allen St & Stanton St",40.722055,-73.989111,312,"Allen St & Stanton St",40.722055,-73.989111,28490,"Subscriber",1970,1
683,"2019-09-01 00:03:41.0450","2019-09-01 00:15:04.0710",3597,"43 St & Broadway",40.7577284,-73.9166368,3597,"43 St & Broadway",40.7577284,-73.9166368,18476,"Subscriber",1982,1
490,"2019-09-01 00:03:45.8120","2019-09-01 00:11:56.7950",223,"W 13 St & 7 Ave",40.73781509,-73.99994661,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,32673,"Subscriber",1980,2
314,"2019-09-01 00:03:49.4850","2019-09-01 00:09:04.0830",3558,"Bergen St & Vanderbilt Ave",40.6794388,-73.9680438,3562,"Classon Ave & St Marks Ave",40.6765198,-73.9596082,26942,"Subscriber",1993,1
474,"2019-09-01 00:03:50.0250","2019-09-01 00:11:44.0810",525,"W 34 St & 11 Ave",40.75594159,-74.0021163,514,"12 Ave & W 40 St",40.76087502,-74.00277668,19299,"Subscriber",1994,1
273,"2019-09-01 00:03:51.1870","2019-09-01 00:08:24.9620",460,"S 4 St & Wythe Ave",40.71285887,-73.96590294,3085,"Roebling St & N 4 St",40.71469,-73.95739,28378,"Subscriber",1985,1
2430,"2019-09-01 00:03:53.2130","2019-09-01 00:44:24.0950",349,"Rivington St & Ridge St",40.71850211,-73.98329859,3112,"Milton St & Franklin St",40.72906,-73.95779,27273,"Subscriber",1952,1
1148,"2019-09-01 00:03:54.2200","2019-09-01 00:23:02.6940",3725,"2 Ave & E 72 St",40.7687620293096,-73.95840793848038,516,"E 47 St & 1 Ave",40.75206862,-73.96784384,29045,"Subscriber",1993,1
230,"2019-09-01 00:03:58.3260","2019-09-01 00:07:48.7820",3255,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,505,"6 Ave & W 33 St",40.74901271,-73.98848395,28007,"Subscriber",1976,1
1542,"2019-09-01 00:04:02.5250","2019-09-01 00:29:44.9590",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,410,"Suffolk St & Stanton St",40.72066442,-73.98517977,28291,"Subscriber",1980,1
756,"2019-09-01 00:04:05.9780","2019-09-01 00:16:42.8610",3687,"E 33 St & 1 Ave",40.74322681432173,-73.97449783980846,528,"2 Ave & E 31 St",40.74290902,-73.97706058,19541,"Subscriber",1975,1
